CNES,NOME_ESTABELECIMENTO,TIPO_ESTABELECIMENTO
7271980,BASE SAMU LESTE SAO MATEUS AM1157,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272499,BASE SAMU LESTE SAO MATEUS URAM MC2013,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272502,BASE SAMU LESTE SAO MATEUS URAM MC2014,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272170,BASE SAMU LESTE SAO MIGUEL PB AM1155 SAV,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7018517,BASE SAMU LESTE UBS CID NOVA SAO MIGUEL AM1154,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7018312,BASE SAMU LESTE UBS INACIO MONTEIRO AM1089,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7001320,BASE SAMU LESTE UBS ITAQUERA AM1107,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7001444,BASE SAMU LESTE UBS JARDIM DAS OLIVEIRAS AM1090,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7271972,BASE SAMU LESTE UBS JARDIM DAS OLIVEIRAS AM1153,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272723,BASE SAMU LESTE UBS RIO CLARO AM1191,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5799058,BASE SAMU LESTE UBS RIO CLARO URAM MC1126,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5799066,BASE SAMU LESTE UBS RIO CLARO URAM MC1131,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7018355,BASE SAMU LESTE UPA CIDADE TIRADENTES AM1063,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7001401,BASE SAMU LESTE UPA CIDADE TIRADENTES AM1156,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7018584,BASE SAMU LESTE UPA ITAQUERA AM 1152,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7255764,BASE SAMU LESTE UPA ITAQUERA AM1151 SAV,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7001487,BASE SAMU LESTE UPA JARDIM HELENA AM1193,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5789583,BASE SAMU LESTE UPA JD HELENA URAM MC2031,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5789702,BASE SAMU LESTE UPA JD HELENA URAM MC2050,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7001428,BASE SAMU LESTE UPA JULIO TUPY AM1158,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5789710,BASE SAMU LESTE UPA JULIO TUPY URAM MC2032,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5789737,BASE SAMU LESTE UPA JULIO TUPY URAM MC2051,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7018231,BASE SAMU LESTE UPA TITO LOPES AM1087,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7018029,BASE SAMU LESTE USP LESTE AM1192,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272812,BASE SAMU LESTE USP LESTE URAM MC2015,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272669,BASE SAMU LESTE USP LESTE URAM MC2016,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7001509,BASE SAMU NORTE CAPS PIRITUBA AM 1163,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7030479,BASE SAMU NORTE CECCO JACANA AM1159,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272057,BASE SAMU NORTE H E MANDAQUI AM1085,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272022,BASE SAMU NORTE H E MANDAQUI AM1086 SAV,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272030,BASE SAMU NORTE H E MANDAQUI AM1161,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272596,BASE SAMU NORTE H E MANDAQUI URAM MC2033,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272618,BASE SAMU NORTE H E MANDAQUI URAM MC2034,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272065,BASE SAMU NORTE H M CACHOEIRINHA AM1197,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272529,BASE SAMU NORTE H M PIRITUBA HUNGRIA URAM MC2021,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272545,BASE SAMU NORTE H M PIRITUBA HUNGRIA URAM MC2022,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7257449,BASE SAMU NORTE HUNGRIA H M PIRITUBA AM1084,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272014,BASE SAMU NORTE HUNGRIA H M PIRITUBA AM1187,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7030576,BASE SAMU NORTE HUNGRIA H M PIRITUBA AM1198,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
